Player,Pos,Team,G,REC,YDS,YDSG,AVG,LNG,20+,40+,TD
Matt LaCosse,TE,NYG,2,3,22,11,7.3,10,0,0,0
Darrel Young,FB,WAS,16,6,22,1.4,3.7,8,0,0,0
Geremy Davis,WR,NYG,10,2,21,2.1,10.5,16,0,0,0
Cody Davis,DB,STL,16,1,20,1.2,20,20,1,0,0
Dan Herron,RB,BUF,4,3,20,5,6.7,9,0,0,0
Steven Jackson,RB,NE,2,1,20,10,20,20,1,0,0
Tyson Alualu,DT,JAC,16,2,19,1.2,9.5,16,0,0,0
Reggie Bush,RB,SF,5,4,19,3.8,4.8,8,0,0,0
Ka'Deem Carey,RB,CHI,11,3,19,1.7,6.3,11,0,0,1
Kellen Davis,TE,NYJ,16,3,18,1.1,6,9,0,0,1
Aaron Ripkowski,FB,GB,15,1,18,1.2,18,18,0,0,0
Tyler Varga,FB,IND,3,1,18,6,18,18,0,0,0
Darren Waller,WR,BAL,6,2,18,3,9,17,0,0,0
DeAndrew White,WR,SF,4,2,18,4.5,9,10,0,0,0
Will Johnson,FB,PIT,16,2,16,1,8,11,0,0,0
Tyler Murphy,WR,PIT,2,1,16,8,16,16,0,0,0
Roosevelt Nix-Jones,FB,PIT,15,2,16,1.1,8,10,0,0,0
Bobby Rainey,RB,TB,16,3,16,1,5.3,8,0,0,0
Lucky Whitehead,WR,DAL,15,6,16,1.1,2.7,8,0,0,0
Kerwynn Williams,RB,ARI,6,2,16,2.7,8,12,0,0,0
Mario Alford,WR,CIN,1,1,15,15,15,15,0,0,0
Malcolm Johnson,FB,CLE,12,4,15,1.2,3.8,8,0,0,0
Tevin Coleman,RB,ATL,12,2,14,1.2,7,10,0,0,0
Chandler Worthy,WR,HOU,3,3,14,4.7,4.7,12,0,0,0
Corey Grant,RB,JAC,6,2,13,2.2,6.5,8,0,0,0
Jorvorskie Lane,FB,TB,16,2,13,0.8,6.5,8,0,0,0
Jerome Felton,FB,BUF,16,1,12,0.8,12,12,0,0,0
Sammie Coates,WR,PIT,6,1,11,1.8,11,11,0,0,0
